scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Acantholimon,higher_taxon,genus,path_depth,2,10,10,Acantholimon androsaceum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon ulicinum
Acereae,higher_taxon,tribe,suffix,25,10,10,Acer buergerianum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer buergerianum
Aconiteae,higher_taxon,tribe,suffix,16,10,10,Aconitum anthora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Aconiteae|Aconitum|Aconitum anthora
Actinidia,higher_taxon,genus,path_depth,3,10,10,Actinidia arguta,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Actinidioideae|Actinidia|Actinidia arguta
Adiantum,higher_taxon,genus,path_depth,4,10,10,Adiantum amplum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Adiantoideae|Adiantum|Adiantum amplum
Adoxeae,higher_taxon,tribe,suffix,1,10,10,Adoxa moschatellina,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Viburnaceae|Adoxoideae|Adoxeae|Adoxa|Adoxa moschatellina
Aeonieae,higher_taxon,tribe,suffix,7,10,10,Aeonium arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Aeonieae|Aeonium|Aeonium arboreum
Aerveae,higher_taxon,tribe,suffix,1,10,10,Ptilotus obovatus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Amaranthoideae|Aerveae|Ptilotus|Ptilotus obovatus
Aethionema,higher_taxon,genus,path_depth,4,10,10,Aethionema armenum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Aethionemoideae|Aethionema|Aethionema armenum
Agave angustifolia,higher_taxon,genus,path_depth,1,10,10,Agave rigida,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Agave|Agave angustifolia|Agave angustifolia angustifolia
